item_id,item_desc,element_id,element_desc,n_projects,n_outliers,median_cf,mean_cf,p75_cf,p80_cf,p90_cf,std_cf,min_cf,max_cf,avg_over_alloc_pct,median_over_alloc_pct,recommended_factor,avg_alloc_qty,avg_used_qty,median_used_qty,efficiency_rating,has_consumption_data
1105,هندهول دكت مع الغطاء مدور,286,هندهول دكت فرعي مدور,531,3,1.0,0.9483,1.0,1.0,1.0,0.155,0.5,1.0,10.3448,0.0,1.0,1.2105,1.1034,1.0,excellent,True
9433,هندهول دكت فرعي مربع,5,هندهول دكت فرعي مربع,36,0,,,,,,,,,,,,1.0,,,unknown,True
