gis_cleared_amount,gis_requests_qty,gis_requests_amount,gis_cleared_qty,gis_item_desc,gis_item_code,total_cleared_item,total_requests_item,value,unit_price,quantity,uom,branch,item_desc,item_id,element_desc,element_id,item_seq,total_cleared,total_requests,date_field,status,item_type,project_name,project_id,source_file,gis_qty,gis_item_name,gis_value,gis_unit_price,request_qty,request_amount,cleared_qty,cleared_amount,total_requests_num,total_cleared_num,total_requests_item_num,total_cleared_item_num,quantity_num,unit_price_num,value_num,gis_qty_num,gis_unit_price_num,gis_value_num,request_qty_num,request_amount_num,cleared_qty_num,cleared_amount_num,_alloc,_used
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135273,,"291,630",11/11/2023,جاري الاقفال,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزيدية_م/ الحديدة,208060014178,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"55,000",,,,,,291630.0,,,,,,,1.0,,55000.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1,حديد ابو 8ملم,"275,205",275205,1,"2,200",1,"2,150",284000.0,214300.0,,,,,,1.0,275205.0,275205.0,1.0,2200.0,1.0,2150.0,1.0,1.0
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,4,حديد ابو 14ملم,"27,200",,,,,,284000.0,214300.0,,,,,,4.0,,27200.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,9,اسمنت,"33,750",,,,,,284000.0,214300.0,,,,,,9.0,,33750.0,,,,,,
,,,,,,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,"17,000",,"16,000",1,,,,,284000.0,214300.0,,,,,,17000.0,1.0,16000.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1,رمل,"10,000",,,,,,284000.0,214300.0,,,,,,1.0,,10000.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,180,بلك,"108,000",,,,,,284000.0,214300.0,,,,,,180.0,,108000.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1,سلك تربيط,"1,250",,,,,,284000.0,214300.0,,,,,,1.0,,1250.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1000,ماء للعمل,"5,000",,,,,,284000.0,214300.0,,,,,,1000.0,,5000.0,,,,,,
,,,,,12ERP008,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1,مقطوعية اعمال حفر(متنوعة),"15,000",,,,,,284000.0,214300.0,,,,,,1.0,,15000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135306,"214,300.00","284,000",11/11/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون الزهرة_م/ الحديدة,208060014184,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"60,000",,,,,,284000.0,214300.0,,,,,,1.0,,60000.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,1,حديد ابو 8ملم,"323,041",323041,2,"4,400",1,"2,150",467700.0,264000.0,,,,,,1.0,323041.0,323041.0,2.0,4400.0,1.0,2150.0,2.0,1.0
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,8,حديد ابو 14ملم,"54,400",,,,,,467700.0,264000.0,,,,,,8.0,,54400.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,16,اسمنت,"60,400",,,,,,467700.0,264000.0,,,,,,16.0,,60400.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,2,كري,"32,000",,,,,,467700.0,264000.0,,,,,,2.0,,32000.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,1.5,رمل,"11,250",,,,,,467700.0,264000.0,,,,,,1.5,,11250.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,340,بلك,"136,000",,,,,,467700.0,264000.0,,,,,,340.0,,136000.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,2,سلك تربيط,"3,400",,,,,,467700.0,264000.0,,,,,,2.0,,3400.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,2000,ماء للعمل,"10,000",,,,,,467700.0,264000.0,,,,,,2000.0,,10000.0,,,,,,
,,,,,12ERP008,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,2,مقطوعية اعمال حفر(متنوعة),"35,000",,,,,,467700.0,264000.0,,,,,,2.0,,35000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,2,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"100,000",,,,,,467700.0,264000.0,,,,,,2.0,,100000.0,,,,,,
,,,,,12ERP0445,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,143805,"264,000.00","467,700",09/12/2023,منجز,سبأفون,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة سبافون  المعرص_م/ الحديدة,208060014188,هندهولات4_1779041552498.HTM,1.5,رمل ناعم وخشن,"11,250",,,,,,467700.0,264000.0,,,,,,1.5,,11250.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2,حديد ابو 8ملم,"414,178",207089,2,"4,600",2,"4,600",401650.0,381500.0,,,,,,2.0,207089.0,414178.0,2.0,4600.0,2.0,4600.0,2.0,2.0
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,6,حديد ابو 14ملم,"39,600",,,,,,401650.0,381500.0,,,,,,6.0,,39600.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,15,اسمنت,"49,500",,,,,,401650.0,381500.0,,,,,,15.0,,49500.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,200,بلك,"110,000",,,,,,401650.0,381500.0,,,,,,200.0,,110000.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2,سلك تربيط,"2,600",,,,,,401650.0,381500.0,,,,,,2.0,,2600.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2000,ماء للعمل,"9,000",,,,,,401650.0,381500.0,,,,,,2000.0,,9000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"127,800",,,,,,401650.0,381500.0,,,,,,2.0,,127800.0,,,,,,
,,,,,12ERP0434,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2,كري كساره,"30,000",,,,,,401650.0,381500.0,,,,,,2.0,,30000.0,,,,,,
,,,,,12ERP0445,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136157,"381,500","401,650",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل القرار_الحديدة,208060014191,هندهولات4_1779041552498.HTM,2.5,رمل ناعم وخشن,"18,750",,,,,,401650.0,381500.0,,,,,,2.5,,18750.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,حديد ابو 8ملم,"235,376",235376,1,"2,200",,,139500.0,,,,,,,1.0,235376.0,235376.0,1.0,2200.0,,,1.0,
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,3,حديد ابو 14ملم,"19,800",,,,,,139500.0,,,,,,,3.0,,19800.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,7,اسمنت,"23,100",,,,,,139500.0,,,,,,,7.0,,23100.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,كري,"8,650",,,,,,139500.0,,,,,,,1.0,,8650.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,رمل,"3,000",,,,,,139500.0,,,,,,,1.0,,3000.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,70,بلك,"40,600",,,,,,139500.0,,,,,,,70.0,,40600.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,سلك تربيط,"1,250",,,,,,139500.0,,,,,,,1.0,,1250.0,,,,,,
,,,,,,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,"3,000",,,,,,,,139500.0,,,,,,,3000.0,,,,,,,,
,,,,,12ERP008,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,مقطوعية اعمال حفر(متنوعة),"8,000",,,,,,139500.0,,,,,,,1.0,,8000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,135063,,"139,500",11/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل غليل 2_الحديدة,208060014192,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"25,000",,,,,,139500.0,,,,,,,1.0,,25000.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,حديد ابو 8ملم,"207,089",207089,1,"2,200",,,138500.0,,,,,,,1.0,207089.0,207089.0,1.0,2200.0,,,1.0,
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,3,حديد ابو 14ملم,"19,050",,,,,,138500.0,,,,,,,3.0,,19050.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,7,اسمنت,"23,100",,,,,,138500.0,,,,,,,7.0,,23100.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,كري,"8,500",,,,,,138500.0,,,,,,,1.0,,8500.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,رمل,"3,000",,,,,,138500.0,,,,,,,1.0,,3000.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,70,بلك,"40,600",,,,,,138500.0,,,,,,,70.0,,40600.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,سلك تربيط,"1,250",,,,,,138500.0,,,,,,,1.0,,1250.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1000,ماء للعمل,"3,000",,,,,,138500.0,,,,,,,1000.0,,3000.0,,,,,,
,,,,,12ERP008,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,مقطوعية اعمال حفر(متنوعة),"8,000",,,,,,138500.0,,,,,,,1.0,,8000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136661,,"138,500",13/11/2023,مقفل نهائي,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل شارع صدام_م/ الحديدة,208060014198,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"25,000",,,,,,138500.0,,,,,,,1.0,,25000.0,,,,,,
,,,,,1101103,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1,حديد ابو 8ملم,"206,567",206567,1,"2,200",1,"2,200",163700.0,162900.0,,,,,,1.0,206567.0,206567.0,1.0,2200.0,1.0,2200.0,1.0,1.0
,,,,,1101106,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,3,حديد ابو 14ملم,"19,500",,,,,,163700.0,162900.0,,,,,,3.0,,19500.0,,,,,,
,,,,,1101114,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,8,اسمنت,"26,400",,,,,,163700.0,162900.0,,,,,,8.0,,26400.0,,,,,,
,,,,,1101116,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1,كري,"11,000",,,,,,163700.0,162900.0,,,,,,1.0,,11000.0,,,,,,
,,,,,1101117,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1.5,رمل,"10,500",,,,,,163700.0,162900.0,,,,,,1.5,,10500.0,,,,,,
,,,,,1101139,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,80,بلك,"48,000",,,,,,163700.0,162900.0,,,,,,80.0,,48000.0,,,,,,
,,,,,1101145,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1,سلك تربيط,"1,250",,,,,,163700.0,162900.0,,,,,,1.0,,1250.0,,,,,,
,,,,,1109807,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1000,ماء للعمل,"5,000",,,,,,163700.0,162900.0,,,,,,1000.0,,5000.0,,,,,,
,,,,,12ERP015,,,,,,,ادارة فرع الحديدة,هندهول دكت مع الغطاء مدور,1105,هندهول دكت فرعي مدور,286,136272,"162,900.00","163,700",13/11/2023,منجز,تراسل يمن موبايل,توصيل خدمة التراسل عبر الالياف الى موقع محطة شركة يمن موبايل طريق الكدن_الحديدة,208060014201,هندهولات4_1779041552498.HTM,1,مصنعية بناء ولياسة وحدادة ونجارة وصبة,"35,000",,,,,,163700.0,162900.0,,,,,,1.0,,35000.0,,,,,,
